SOURCELONG:Horror Adventures	SOURCESHORT:HA	SOURCEWEB:http://paizo.com/products/btpy9n5a	SOURCEDATE:2016-08

Appraise.MOD			SITUATION:Determine most valuable item visible
Bluff.MOD				SITUATION:Against devils
Bluff.MOD				SITUATION:Against evil creatures
Bluff.MOD				SITUATION:Against humanoids
Bluff.MOD				SITUATION:Omit or cover up facts
Diplomacy.MOD			SITUATION:Against devils
Diplomacy.MOD			SITUATION:Against evil creatures
Diplomacy.MOD			SITUATION:Against humanoids
Diplomacy.MOD			SITUATION:Creatures able to see you
Handle Animal.MOD			SITUATION:Creatures able to see you
Knowledge (Religion).MOD	SITUATION:ID undead
Linguistics.MOD			SITUATION:Decipher unusual handwriting
Linguistics.MOD			SITUATION:Omit or cover up facts
Perception.MOD			SITUATION:Against devils
Perception.MOD			SITUATION:Against fey
Perception.MOD			SITUATION:Notice disguised or hidden aberrations
Perception.MOD			SITUATION:Notice Slight of Hand
Perception.MOD			SITUATION:Out of water
Perception.MOD			SITUATION:Pinpoint invisible creatures
Perception.MOD			SITUATION:See through magical disguises
Sense Motive.MOD			SITUATION:Against devils
Sense Motive.MOD			SITUATION:Against evil creatures
Sense Motive.MOD			SITUATION:Against fey
Sense Motive.MOD			SITUATION:Against humanoids
Sense Motive.MOD			SITUATION:Notice enchantment or possession
Sense Motive.MOD			SITUATION:Notice natural or magical insanity
Spellcraft.MOD			SITUATION:Identify cursed items
Survival.MOD			SITUATION:Against fey

