# CVS $Revision: 12957 $ $Author: jbaril $ -- Tue Oct 17 19:43:58 2017 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Pathfinder Player Companion: Advanced Class Origins	SOURCESHORT:ACO	SOURCEWEB:http://paizo.com/products/btpy965z	SOURCEDATE:2014-10

# Skill Name			Situational Skill
Acrobatics.MOD			SITUATION:Aboard a boat
Bluff.MOD				SITUATION:Regarding goblinoids
Climb.MOD				SITUATION:Aboard a boat
Intimidate.MOD			SITUATION:Influence a creature's attitude
Knowledge (geography).MOD	SITUATION:In Abyss-tainted terrain
Perception.MOD			SITUATION:In Abyss-tainted terrain
Perception.MOD			SITUATION:Regarding goblinoids
Sense Motive.MOD			SITUATION:Regarding goblinoids
Stealth.MOD				SITUATION:In Abyss-tainted terrain
Survival.MOD			SITUATION:While at sea
Survival.MOD			SITUATION:In Abyss-tainted terrain
Survival.MOD			SITUATION:Regarding goblinoids
