# CVS $Revision: $ $Author: $ -- Sat Jan 10 23:27:37 2009 -- reformated by prettylst.pl v1.38 (build 7302)
###ABILITY CATEGORY
# Ability Category					Visible		Editable or Static?	Change Pool?	Category of Object		Type of Object				Display Location
ABILITYCATEGORY:Bonus Craft Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:FEAT			TYPE:AltherianArtificerBonus		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Hedge Mage Lore			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:HedgeMageLore			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Hedge Mage Greater Lore		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:HedgeMageLoreGreater		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Adaptable Magic Choice		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:FEAT			TYPE:AdaptableMagic			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Shaman Spirit Gift			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:SpiritGift				DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Shaman Spirit Guide			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ShamanSpiritGuide			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Spellblade Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:FEAT			TYPE:Fighter				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Warder Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:FEAT			TYPE:WarderFeat				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Homeland Defense Choice		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:HomelandDefenseFeat		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Nurion's Teachings			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:NurionsTeachings			DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Arcane Aegis				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:ArcaneAegis				DISPLAYLOCATION:Class Abilities



ABILITYCATEGORY:Savant Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:FEAT			TYPE:Metamagic				DISPLAYLOCATION:Feats

ABILITYCATEGORY:Binding Fetish			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:EhtzaraFetish			DISPLAYLOCATION:Class Abilities


ABILITYCATEGORY:Path of Faith Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:FEAT			TYPE:PathOfFaithFeat			DISPLAYLOCATION:Feats
ABILITYCATEGORY:The Summoner Path Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:FEAT			TYPE:SummonerPathFeat			DISPLAYLOCATION:Feats
ABILITYCATEGORY:The Augmentalist Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:FEAT			TYPE:Metamagic.TheAugmentalistFeat	DISPLAYLOCATION:Feats

ABILITYCATEGORY:Ordainer Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:OrdainerFeat				DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Wine Drinker School Access	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:WineDrinkerSchool			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Wine Drinker Weapon			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:WineDrinkerFeat			DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Vispilio de Magus Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:FEAT			TYPE:VispiliodeMagus			DISPLAYLOCATION:Feats

ABILITYCATEGORY:One Additional Spell Cast		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		CATEGORY:Special Ability	TYPE:AdditionalSpell			DISPLAYLOCATION:Class Abilities

